County/City,Democratic,Republican,Total Votes Cast,Year
TOTALS,139716,73312,223405,1924
Dinwiddie County,685,122,830,1924
Elizabeth City County,698,312,1098,1924
Essex County,315,60,384,1924
Fairfax County,1586,765,2546,1924
Fauquier County,1277,345,1711,1924
Floyd County,515,984,1512,1924
Fluvanna County,452,136,615,1924
Franklin County,1902,1077,2992,1924
Frederick County,1314,484,1827,1924
Fredericksburg City,558,223,808,1924
Giles County,1319,852,2229,1924
Gloucester County,616,109,730,1924
Goochland County,394,164,598,1924
Grayson County,1611,1442,3073,1924
Greene County,285,240,533,1924
Greensville County,417,132,572,1924
Halifax County,2245,374,2664,1924
Hampton City,471,129,615,1924
Hanover County,732,135,905,1924
Harrisonburg City,624,631,1270,1924
Henrico County,1052,416,1600,1924
Henry County,1097,565,1697,1924
Highland County,508,454,972,1924
Hopewell City,277,206,491,1924
Isle of Wight County,631,190,827,1924
James City County,173,54,240,1924
King and Queen County,314,134,452,1924
Dickenson County,1618,1294,3031,1924
Danville City,1577,473,2237,1924
Cumberland County,398,61,487,1924
Culpeper County,876,190,1108,1924
Accomack County,2087,307,2426,1924
Albemarle County,1383,366,1801,1924
Alexandria City,1136,556,1958,1924
Alleghany County,589,856,1628,1924
Amelia County,372,153,540,1924
Amherst County,1092,129,1326,1924
Appomattox County,952,101,1071,1924
Arlington County,1209,1307,2921,1924
Augusta County,1920,1265,3263,1924
Bath County,404,407,835,1924
Bedford County,1811,432,2274,1924
Bland County,604,609,1217,1924
Botetourt County,1427,1264,2752,1924
King George County,280,206,502,1924
Bristol City,1036,440,1505,1924
Buchanan County,870,1080,1964,1924
Buckingham County,623,213,851,1924
Buena Vista City,235,149,392,1924
Campbell County,1468,372,1982,1924
Caroline County,840,223,1083,1924
Carroll County,1257,1743,3014,1924
Charles City County,141,82,231,1924
Charlotte County,1006,154,1244,1924
Charlottesville City,831,218,1157,1924
Chesterfield County,967,282,1324,1924
Clarke County,687,76,778,1924
Clifton Forge City,447,225,961,1924
Craig County,512,300,831,1924
Brunswick County,887,65,982,1924
King William County,372,148,533,1924
York County,305,75,395,1924
Lee County,2376,2456,4944,1924
Richmond County,340,125,471,1924
Richmond City,9904,2600,13411,1924
Roanoke County,1078,695,1888,1924
Roanoke City,3930,1747,6432,1924
Rockbridge County,1394,680,2132,1924
Rockingham County,2040,1982,4122,1924
Russell County,2554,1848,4475,1924
Scott County,2177,2666,4910,1924
Shenandoah County,2186,2214,4534,1924
Smyth County,1907,2232,4170,1924
S. Norfolk City,281,134,439,1924
Southampton County,1119,203,1404,1924
Spotsylvania County,448,255,735,1924
Stafford County,450,433,926,1924
Staunton City,1022,549,1609,1924
Suffolk City,557,179,760,1924
Surry County,388,72,502,1924
Sussex County,607,132,747,1924
